benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency,avg_route_length,avg_wasted_travel,avg_return_reserve,avg_infeasible_routes,avg_hazard_zones_mapped,avg_priority_updates,avg_final_threat_level,avg_high_priority_zones_mapped,avg_time_to_map_first_high_risk,avg_zone_observations,avg_urban_route_length_m,avg_urban_route_risk_score,urban_route_planned_rate,avg_urban_violation_count,urban_route_completed_rate,urban_patrol_completed_rate,avg_urban_time_to_complete_loop,avg_urban_distance_travelled_m,avg_urban_route_efficiency,avg_urban_replan_count,bus_detection_rate,avg_time_to_detect_bus,avg_false_positive_count,avg_distance_before_detection,search_success_without_violation_rate,avg_urban_min_agent_separation_m,avg_urban_separation_violation_count,avg_urban_route_conflict_count
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_heavy-loss-cascade-failure,coverage,coverage,0,1000,auction,coverage/heavy-loss-cascade-failure,1000,1.000,1.000,0.000,0.000,13043.556,6616.868,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,592528.689,186.005,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_heavy-loss-multiple-failures,coverage,coverage,0,1000,auction,coverage/heavy-loss-multiple-failures,1000,1.000,1.000,0.000,0.000,14606.496,6495.041,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,663771.285,189.988,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_heavy-loss-no-failures,coverage,coverage,0,1000,auction,coverage/heavy-loss-no-failures,1000,1.000,1.000,0.000,0.000,90.000,27.077,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_heavy-loss-single-failure,coverage,coverage,0,1000,auction,coverage/heavy-loss-single-failure,1000,1.000,1.000,0.000,0.000,16280.955,6087.717,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,740026.260,191.451,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_high-latency-cascade-failure,coverage,coverage,0,1000,auction,coverage/high-latency-cascade-failure,1000,1.000,1.000,0.000,0.000,13043.556,3862.508,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,592528.689,185.446,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_high-latency-multiple-failures,coverage,coverage,0,1000,auction,coverage/high-latency-multiple-failures,1000,1.000,1.000,0.000,0.000,14606.496,3018.316,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,663771.285,189.462,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_high-latency-no-failures,coverage,coverage,0,1000,auction,coverage/high-latency-no-failures,1000,1.000,1.000,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_high-latency-single-failure,coverage,coverage,0,1000,auction,coverage/high-latency-single-failure,1000,1.000,1.000,0.000,0.000,16280.955,1719.045,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,740026.260,191.005,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_ideal-cascade-failure,coverage,coverage,0,1000,auction,coverage/ideal-cascade-failure,1000,1.000,1.000,3.000,0.000,1848.582,130.850,0.000,0.000,0.000,0.952,0.000,1.000,2.924,1.000,82391.859,7.748,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_ideal-multiple-failures,coverage,coverage,0,1000,auction,coverage/ideal-multiple-failures,1000,1.000,1.000,3.000,0.000,1387.728,80.812,0.000,0.000,0.000,0.959,0.000,1.000,1.938,1.000,61654.725,5.868,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_ideal-no-failures,coverage,coverage,0,1000,auction,coverage/ideal-no-failures,1000,1.000,1.000,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
