benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency,avg_route_length,avg_wasted_travel,avg_return_reserve,avg_infeasible_routes,avg_hazard_zones_mapped,avg_priority_updates,avg_final_threat_level
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_high-latency-cascade-failure,coverage,coverage,0,500,auction,coverage/high-latency-cascade-failure,500,1.000,1.000,0.000,0.000,13042.584,3863.264,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,592485.228,185.482,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_high-latency-multiple-failures,coverage,coverage,0,500,auction,coverage/high-latency-multiple-failures,500,1.000,1.000,0.000,0.000,14606.208,3018.572,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,663758.532,189.478,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_high-latency-no-failures,coverage,coverage,0,500,auction,coverage/high-latency-no-failures,500,1.000,1.000,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_ideal-cascade-failure,coverage,coverage,0,500,auction,coverage/ideal-cascade-failure,500,1.000,1.000,3.000,0.000,1845.342,130.850,0.000,0.000,0.000,0.951,0.000,1.000,2.924,1.000,82246.338,7.748,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_medium-loss-single-failure,coverage,coverage,0,500,auction,coverage/medium-loss-single-failure,500,1.000,1.000,0.000,0.000,16280.730,3903.610,0.000,0.000,0.000,0.999,0.000,1.000,1.000,1.000,740016.270,191.210,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_heavy-loss-no-failures,coverage,coverage,0,500,auction,coverage/heavy-loss-no-failures,500,1.000,1.000,0.000,0.000,90.000,26.922,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_light-loss-no-failures,coverage,coverage,0,500,auction,coverage/light-loss-no-failures,500,1.000,1.000,0.000,0.000,90.000,4.592,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_heavy-loss-single-failure,coverage,coverage,0,500,auction,coverage/heavy-loss-single-failure,500,1.000,1.000,0.000,0.000,16280.730,6088.710,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,740016.270,191.454,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_heavy-loss-multiple-failures,coverage,coverage,0,500,auction,coverage/heavy-loss-multiple-failures,500,1.000,1.000,0.000,0.000,14606.208,6496.908,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,663758.532,189.996,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T164016Z_all_500_custom,2026-05-27T164016Z_all_500_custom_coverage_auction_coverage_light-loss-single-failure,coverage,coverage,0,500,auction,coverage/light-loss-single-failure,500,1.000,1.000,2.410,0.000,6911.460,989.964,0.000,0.000,0.000,0.984,0.000,1.000,1.000,1.000,313348.284,75.408,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
