benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency,avg_route_length,avg_wasted_travel,avg_return_reserve,avg_infeasible_routes,avg_hazard_zones_mapped,avg_priority_updates,avg_final_threat_level,avg_high_priority_zones_mapped,avg_time_to_map_first_high_risk,avg_zone_observations,avg_urban_route_length_m,avg_urban_route_risk_score,urban_route_planned_rate,avg_urban_violation_count,urban_route_completed_rate,urban_patrol_completed_rate,avg_urban_time_to_complete_loop,avg_urban_distance_travelled_m,avg_urban_route_efficiency,avg_urban_replan_count,bus_detection_rate,avg_time_to_detect_bus,avg_false_positive_count,avg_distance_before_detection,search_success_without_violation_rate,avg_urban_min_agent_separation_m,avg_urban_separation_violation_count,avg_urban_route_conflict_count
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_greedy_urban-patrol_corridor-delta-dijkstra,urban-patrol,corridor-delta-dijkstra,0,0,greedy,urban-patrol/corridor-delta-dijkstra,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,1.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,190.000,1.000,0.000,1.000,1.000,10.000,40.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_greedy_urban-patrol_corridor-delta-corridor-aware,urban-patrol,corridor-delta-corridor-aware,0,0,greedy,urban-patrol/corridor-delta-corridor-aware,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,1.000,80.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,70.000,1.000,0.000,1.000,1.000,20.000,80.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_auction_urban-patrol_corridor-delta-dijkstra,urban-patrol,corridor-delta-dijkstra,0,0,auction,urban-patrol/corridor-delta-dijkstra,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,1.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,190.000,1.000,0.000,1.000,1.000,10.000,40.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_auction_urban-patrol_corridor-delta-corridor-aware,urban-patrol,corridor-delta-corridor-aware,0,0,auction,urban-patrol/corridor-delta-corridor-aware,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,1.000,80.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,70.000,1.000,0.000,1.000,1.000,20.000,80.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_connectivity-aware_urban-patrol_corridor-delta-dijkstra,urban-patrol,corridor-delta-dijkstra,0,0,connectivity-aware,urban-patrol/corridor-delta-dijkstra,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,1.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,190.000,1.000,0.000,1.000,1.000,10.000,40.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_connectivity-aware_urban-patrol_corridor-delta-corridor-aware,urban-patrol,corridor-delta-corridor-aware,0,0,connectivity-aware,urban-patrol/corridor-delta-corridor-aware,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,1.000,80.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,70.000,1.000,0.000,1.000,1.000,20.000,80.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_centralized_urban-patrol_corridor-delta-dijkstra,urban-patrol,corridor-delta-dijkstra,0,0,centralized,urban-patrol/corridor-delta-dijkstra,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,1.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,190.000,1.000,0.000,1.000,1.000,10.000,40.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_centralized_urban-patrol_corridor-delta-corridor-aware,urban-patrol,corridor-delta-corridor-aware,0,0,centralized,urban-patrol/corridor-delta-corridor-aware,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,1.000,80.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,70.000,1.000,0.000,1.000,1.000,20.000,80.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_cbba_urban-patrol_corridor-delta-dijkstra,urban-patrol,corridor-delta-dijkstra,0,0,cbba,urban-patrol/corridor-delta-dijkstra,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,1.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,190.000,1.000,0.000,1.000,1.000,10.000,40.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
suite_Urban Corridor Planner Delta,suite_Urban Corridor Planner Delta_urban-patrol_cbba_urban-patrol_corridor-delta-corridor-aware,urban-patrol,corridor-delta-corridor-aware,0,0,cbba,urban-patrol/corridor-delta-corridor-aware,1,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,1.000,80.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,70.000,1.000,0.000,1.000,1.000,20.000,80.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
