run_id,agent_id,record_type,tick,segment_index,edge_id,from,to,status,x,y,z
urban_corridor_delta_corridor_aware_0,agent-0,segment,0,0,safe-north-a,start,safe-a,completed,,,
urban_corridor_delta_corridor_aware_0,agent-0,segment,3,1,safe-north-b,safe-a,safe-b,completed,,,
urban_corridor_delta_corridor_aware_0,agent-0,segment,8,2,safe-north-c,safe-b,goal,completed,,,
urban_corridor_delta_corridor_aware_0,agent-0,segment,10,3,safe-south-a,goal,safe-b,completed,,,
urban_corridor_delta_corridor_aware_0,agent-0,segment,13,4,safe-south-b,safe-b,safe-a,completed,,,
urban_corridor_delta_corridor_aware_0,agent-0,segment,18,5,safe-south-c,safe-a,start,completed,,,
urban_corridor_delta_corridor_aware_0,agent-0,pose,0,,,,,,0.000,0.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,1,,,,,,0.000,4.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,2,,,,,,0.000,8.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,3,,,,,,2.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,4,,,,,,6.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,5,,,,,,10.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,6,,,,,,14.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,7,,,,,,18.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,8,,,,,,20.000,8.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,9,,,,,,20.000,4.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,10,,,,,,20.000,0.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,11,,,,,,20.000,4.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,12,,,,,,20.000,8.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,13,,,,,,18.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,14,,,,,,14.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,15,,,,,,10.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,16,,,,,,6.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,17,,,,,,2.000,10.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,18,,,,,,0.000,8.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,19,,,,,,0.000,4.000,0.000
urban_corridor_delta_corridor_aware_0,agent-0,pose,20,,,,,,0.000,0.000,0.000
