benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_centralized_sar/ideal,sar,sar,0,10,centralized,sar/ideal,10,0.000,0.000,0.000,0.000,8000.000,7195.400,0.000,0.000,179.300,0.100,0.000,0.433,4.800,0.972,1911840.000,300.000,96.314,97.754,1.000,0.050,0.100,0.000,0.345,0.642,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_centralized_sar/standard,sar,sar,0,10,centralized,sar/standard,10,0.000,0.000,0.000,0.000,22386.000,21535.400,0.000,0.000,211.700,0.000,0.000,0.217,6.700,0.984,8605422.000,400.000,96.714,97.793,2.600,0.200,0.600,0.000,0.318,0.577,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_connectivity-aware_sar/ideal,sar,sar,0,10,connectivity-aware,sar/ideal,10,0.700,0.700,0.000,0.000,8000.000,6445.400,0.000,0.000,810.500,0.000,0.000,0.283,4.900,0.992,1911840.000,299.700,88.527,95.149,7.000,0.100,0.200,0.000,0.386,0.675,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_connectivity-aware_sar/standard,sar,sar,0,10,connectivity-aware,sar/standard,10,0.800,0.800,0.000,0.000,22386.000,19906.800,0.000,0.000,1524.600,0.000,0.000,0.300,6.900,0.997,8605422.000,400.000,83.340,94.061,11.333,0.100,0.300,0.000,0.322,0.513,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_auction_sar/ideal,sar,sar,0,10,auction,sar/ideal,10,0.700,0.700,0.000,0.000,8000.000,6815.800,0.000,0.000,879.000,0.000,0.000,0.125,5.000,0.992,1911840.000,300.000,91.127,95.956,4.250,0.200,0.400,0.000,0.378,0.653,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_auction_sar/standard,sar,sar,0,10,auction,sar/standard,10,0.600,0.600,0.000,0.000,22386.000,21044.800,0.000,0.000,1197.300,0.000,0.000,0.433,6.700,0.994,8605422.000,400.000,87.434,95.717,9.250,0.167,0.500,0.000,0.320,0.466,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_greedy_sar/ideal,sar,sar,0,10,greedy,sar/ideal,10,0.600,0.600,0.000,0.000,8000.000,5599.000,0.000,0.000,1849.200,0.173,0.000,0.583,4.800,0.989,1911556.400,266.200,79.960,90.384,21.000,0.050,0.100,0.000,0.376,0.624,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_greedy_sar/standard,sar,sar,0,10,greedy,sar/standard,10,0.600,0.700,0.000,0.000,22386.000,16747.800,0.000,0.000,7645.100,0.000,0.000,0.200,6.900,0.897,8554408.200,391.900,67.021,87.182,28.000,0.100,0.300,0.000,0.317,0.486,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_cbba_sar/ideal,sar,sar,0,10,cbba,sar/ideal,10,0.100,0.100,0.000,1.000,8000.000,7191.200,0.000,0.000,736.600,0.194,0.000,0.400,5.000,0.328,1183885.600,300.000,93.123,96.570,3.000,0.250,0.500,0.000,0.396,0.674,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
2026-05-26T020654Z_sar_10_quick,2026-05-26T020654Z_sar_10_quick_cbba_sar/standard,sar,sar,0,10,cbba,sar/standard,10,0.000,0.000,0.000,1.300,22386.000,21323.000,0.000,0.000,2315.200,0.000,0.000,0.233,6.800,0.177,4341574.200,400.000,92.793,96.919,3.000,0.067,0.200,0.000,0.315,0.448,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000
